Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,88.8499984741211,91.30000305175781,88.54000091552734,91.06999969482422,61.366573333740234,44516300
2003-01-03,90.91000366210938,91.37999725341797,90.5,91.3499984741211,61.55522537231445,32222600
2003-01-06,91.23999786376953,93.48999786376953,91.16999816894531,92.95999908447266,62.640113830566406,40984500
2003-01-07,92.9000015258789,93.37000274658203,92.19999694824219,92.7300033569336,62.48516082763672,38640400
2003-01-08,92.19999694824219,92.4000015258789,91.05000305175781,91.38999938964844,61.58219909667969,38702200
2003-01-09,91.81999969482422,93.18000030517578,91.41000366210938,92.80999755859375,62.539031982421875,34804900
2003-01-10,91.94999694824219,93.63999938964844,91.80000305175781,93.05999755859375,62.70749282836914,37768900
2003-01-13,93.54000091552734,93.86000061035156,92.44000244140625,93.02999877929688,62.687294006347656,31649900
2003-01-14,92.69000244140625,93.83000183105469,92.41000366210938,93.33000183105469,62.889434814453125,30733000
2003-01-15,93.54000091552734,93.56999969482422,91.91000366210938,92.4000015258789,62.26275634765625,33511800
2003-01-16,92.5,92.93000030517578,91.44999694824219,92.0199966430664,62.006710052490234,44812100
2003-01-17,90.98999786376953,92.30000305175781,90.1500015258789,90.66000366210938,61.09026336669922,35618300
2003-01-21,90.87000274658203,90.91999816894531,88.94999694824219,89.25,60.14016342163086,36826200
2003-01-22,88.7699966430664,89.80000305175781,88.0,88.16999816894531,59.412410736083984,42286500
2003-01-23,88.75,89.37999725341797,87.94999694824219,88.70999908447266,59.77626037597656,55919800
2003-01-24,88.58999633789062,88.68000030517578,86.16999816894531,86.37999725341797,58.206241607666016,68633900
2003-01-27,85.7300033569336,86.80000305175781,84.5,85.19999694824219,57.411102294921875,57884400
2003-01-28,85.62999725341797,86.4000015258789,85.12999725341797,85.83000183105469,57.83564758300781,46929100
2003-01-29,85.41999816894531,87.18000030517578,84.7699966430664,86.4800033569336,58.273643493652344,53712200
2003-01-30,86.79000091552734,86.87999725341797,84.4000015258789,84.43000030517578,56.89228057861328,49845900
2003-01-31,84.1500015258789,86.20999908447266,84.1500015258789,86.05999755859375,57.990638732910156,55317000
2003-02-03,86.13999938964844,86.80999755859375,85.91999816894531,86.2300033569336,58.105186462402344,39696000
2003-02-04,85.30999755859375,85.75,84.30000305175781,85.37999725341797,57.53240966796875,43633400
2003-02-05,85.75,86.54000091552734,84.4800033569336,84.8499984741211,57.175270080566406,55270600
2003-02-06,84.37000274658203,84.88999938964844,83.6500015258789,84.44999694824219,56.905738830566406,53638000
2003-02-07,84.91000366210938,84.98999786376953,82.97000122070312,83.41999816894531,56.211669921875,43165000
2003-02-10,83.45999908447266,84.12999725341797,82.6500015258789,84.01000213623047,56.6092529296875,45455900
2003-02-11,84.37000274658203,84.87999725341797,82.83000183105469,83.43000030517578,56.21842956542969,46861000
2003-02-12,83.16000366210938,83.62000274658203,82.08999633789062,82.0999984741211,55.32223129272461,35873600
2003-02-13,82.1500015258789,82.66000366210938,81.0,82.3499984741211,55.490657806396484,57934100
2003-02-14,82.37000274658203,84.19999694824219,81.81999969482422,84.1500015258789,56.70359802246094,59580900
2003-02-18,84.52999877929688,85.80000305175781,84.38999938964844,85.62999725341797,57.70084762573242,39492700
2003-02-19,85.31999969482422,85.47000122070312,84.27999877929688,85.18000030517578,57.397647857666016,31432000
2003-02-20,85.20999908447266,85.41999816894531,84.05000305175781,84.33000183105469,56.82488250732422,29280100
2003-02-21,84.37999725341797,85.73999786376953,83.45999908447266,85.18000030517578,57.397647857666016,60955800
2003-02-24,84.93000030517578,85.0,83.58999633789062,83.80000305175781,56.467742919921875,30628600
2003-02-25,82.94999694824219,84.48999786376953,82.22000122070312,84.47000122070312,56.91920471191406,56770600
2003-02-26,84.0199966430664,84.52999877929688,83.08000183105469,83.23999786376953,56.09038543701172,37787200
2003-02-27,83.69999694824219,84.75,83.16000366210938,84.33999633789062,56.83163070678711,51126000
2003-02-28,84.47000122070312,85.2300033569336,84.16000366210938,84.9000015258789,57.208980560302734,43666800
2003-03-03,85.26000213623047,85.77999877929688,83.72000122070312,84.08999633789062,56.66317367553711,42923100
2003-03-04,83.94999694824219,84.01000213623047,82.6500015258789,82.75,55.76022720336914,31440500
2003-03-05,82.61000061035156,83.54000091552734,82.36000061035156,83.44999694824219,56.23190689086914,43974700
2003-03-06,82.87000274658203,83.5199966430664,82.47000122070312,82.75,55.76022720336914,41217700
2003-03-07,81.61000061035156,83.98999786376953,81.43000030517578,83.31999969482422,56.144309997558594,63538000
2003-03-10,82.5999984741211,82.86000061035156,81.0999984741211,81.31999969482422,54.796630859375,41014100
2003-03-11,81.4800033569336,82.0,80.4800033569336,80.5199966430664,54.25754928588867,48102700
2003-03-12,80.37999725341797,81.0999984741211,79.37999725341797,81.05999755859375,54.621429443359375,62459800
2003-03-13,82.18000030517578,83.91000366210938,81.52999877929688,83.86000061035156,56.50818634033203,72117800
2003-03-14,84.19999694824219,84.7699966430664,83.3499984741211,84.12999725341797,56.69011306762695,63951800
2003-03-17,83.45999908447266,86.94999694824219,83.22000122070312,86.77999877929688,58.47581100463867,88217500
2003-03-18,87.1500015258789,87.3499984741211,86.27999877929688,87.29000091552734,58.819461822509766,50792300
2003-03-19,87.27999877929688,88.16000366210938,86.68000030517578,87.95999908447266,59.2708854675293,49630800
2003-03-20,87.33000183105469,88.58999633789062,86.3499984741211,88.1500015258789,59.39896011352539,67321600
2003-03-21,88.80000305175781,89.87999725341797,87.93000030517578,89.66999816894531,60.66682434082031,71165300
2003-03-24,88.0199966430664,88.13999938964844,86.3499984741211,86.69000244140625,58.650691986083984,65398900
2003-03-25,86.73999786376953,88.26000213623047,86.44000244140625,87.5199966430664,59.212196350097656,61040100
2003-03-26,87.55999755859375,87.8499984741211,86.80000305175781,87.08000183105469,58.91450881958008,45740800
2003-03-27,86.4000015258789,87.66000366210938,85.98999786376953,87.1500015258789,58.96187210083008,53120200
2003-03-28,86.47000122070312,87.27999877929688,86.25,86.70999908447266,58.664207458496094,32583000
